"Date","forecast_US_covid","forecast_US_economic","forecast_US_health","forecast_US_response","forecast_US_stringency"
2021-08-08,52955.7981321688,74.4281669437016,90.3566110181915,88.3644167159085,78.8853116511043
2021-08-09,53580.3917369527,74.7885712758151,90.6132894221713,88.6340640685693,79.1893249580484
2021-08-10,54198.1584913509,75.1432321215154,90.8648564958602,88.898521111997,79.48702385994
2021-08-11,54808.9674514167,75.492133118512,91.1113717155116,89.1578378354772,79.7784738970605
2021-08-12,55412.6964778607,75.835264401011,91.352896398934,89.4120666521791,80.0637433786737
2021-08-13,56009.2321247812,76.1726222785534,91.5894935499696,89.6612622229022,80.3429031714568
2021-08-14,56598.4695155979,76.5042089246808,91.8212277091477,89.905481286454,80.6160264961211
2021-08-15,57180.3122073555,76.8300320752778,92.0481648103592,90.1447824965103,80.8831887320273
2021-08-16,57754.6720445279,77.1501047364355,92.2703720434036,90.3792262648038,81.1444672295952
2021-08-17,58321.469003379,77.4644449016762,92.4879177222578,90.6088746104919,81.3999411303128
2021-08-18,58880.6310279023,77.773075278374,92.7008711589148,90.8337910155488,81.6496911941485
2021-08-19,59432.0938582505,78.0760230232087,92.9093025426486,91.0540402860361,81.8937996341732
2021-08-20,59975.8008525831,78.3733194864811,93.1132828245541,91.2696884190976,82.1323499581995
2021-08-21,60511.7028031733,78.6649999651183,93.3128836072177,91.4808024755312,82.3654268172459
2021-08-22,61039.7577475427,78.9511034641979,93.5081770393753,91.6874504577904,82.5931158606402
2021-08-23,61559.9307753983,79.231672466815,93.6992357154138,91.8897011932674,82.8155035975727
2021-08-24,62072.1938320564,79.5067527121184,93.8861325795761,92.0876242227145,83.0326772649166
2021-08-25,62576.5255190149,79.7763929813376,94.068940834731,92.2812896936577,83.2447247011329
2021-08-26,63072.9108923055,80.0406448916241,94.2477338555675,92.4707682586617,83.4517342260785
2021-08-27,63561.3412591657,80.2995626975335,94.4225851060847,92.6561309783073,83.6537945265456
2021-08-28,64041.8139736051,80.5532030999669,94.593568061239,92.8374492287397,83.8509945473522
2021-08-29,64514.3322313505,80.8016250623989,94.7607561326193,93.0147946136538,84.043423387816
2021-08-30,64978.9048646291,81.044889634215,94.9242225980237,93.1882388805809,84.2311702034426
2021-08-31,65435.546137241,81.2830597809841,95.0840405348081,93.3578538413448,84.4143241126611
2021-09-01,65884.2755403155,81.5162002214902,95.2402827568844,93.5237112965557,84.5929741084447
2021-09-02,66325.1175891036,81.7443772713548,95.3930217552484,93.6858829640165,84.7672089746586
2021-09-03,66758.1016211902,81.9676586930735,95.5423296419132,93.8444404109124,84.9371172069749
2021-09-04,67183.2615964057,82.1861135523005,95.6882780971367,93.9994549896626,85.1027869382038
2021-09-05,67600.6358987404,82.3998120802121,95.8309383198244,94.1509977773124,85.26430586789
2021-09-06,68010.2671405258,82.608825541782,95.9703809809992,94.2991395183462,85.4217611960264
2021-09-07,68412.2019691347,82.8132261098041,96.1066761802236,94.4439505708044,85.5752395607405
2021-09-08,68806.4908764026,83.0130867445005,96.2398934048727,94.5855008555922,85.7248269798139
2021-09-09,69193.1880109836,83.2084810785551,96.3701014921494,94.723859808866,85.8706087958953
2021-09-10,69572.3509938148,83.399483307413,96.4973685937396,94.8590963373899,86.0126696252734
2021-09-11,69944.0407368489,83.5861680846915,96.6217621430105,94.9912787767544,86.1510933100782
2021-09-12,70308.3212652123,83.7686104225472,96.7433488246501,95.1204748523528,86.2859628737798
2021-09-13,70665.2595428884,83.946885596851,96.8621945466565,95.2467516430137,86.417360479863
2021-09-14,71014.9253020663,84.1210690570198,96.9783644145829,95.3701755471898,86.5453673935525
2021-09-15,71357.3908762353,84.2912363403596,97.0919227079465,95.490812251605,86.6700639464703
2021-09-16,71692.7310371101,84.4574629907774,97.2029328587164,95.6087267022656,86.7915295041096
2021-09-17,72021.0228354527,84.6198244817214,97.3114574317925,95.7239830777435,86.909842436012
2021-09-18,72342.3454458641,84.7783961432085,97.4175581073929,95.8366447646393,87.0250800885366
2021-09-19,72656.7800155804,84.9332530928065,97.5212956652673,95.9467743351392,87.137318760115
2021-09-20,72964.4095173002,85.0844701704376,97.6227299706607,96.0544335265798,87.2466336788875
2021-09-21,73265.3186060886,85.2321218768721,97.7219199619481,96.1596832229368,87.3530989826199
2021-09-22,73559.5934803634,85.3762823157856,97.8189236398657,96.2625834381569,87.4567877007995
2021-09-23,73847.3217469643,85.5170251392557,97.9137980582694,96.3631933012552,87.5577717388198
2021-09-24,74128.5922903108,85.654423496576,98.0065993163465,96.4615710431001,87.6561218641557
2021-09-25,74403.495145647,85.7885499862677,98.0973825522166,96.5577739848118,87.7519076944416
2021-09-26,74672.1213763561,85.9194766111708,98.1862019378509,96.6518585277018,87.8451976873648
2021-09-27,74934.5629553039,86.047274736507,98.2731106752517,96.7438801446844,87.9360591322884
2021-09-28,75190.9126502097,86.1720150507959,98.358160993826,96.8338933730914,88.0245581435228
2021-09-29,75441.263912994,86.2937675295221,98.4414041488947,96.9219518088239,88.1107596551651
2021-09-30,75685.7107730699,86.4126014014446,98.5228904212804,97.0081081017776,88.1947274174289
2021-10-01,75924.3477345425,86.5285851174456,98.6026691179147,97.0924139524791,88.2765239943912
2021-10-02,76157.2696772611,86.6417863218191,98.6807885734144,97.1749201098737,88.3562107630819
2021-10-03,76384.5717616584,86.7522718259035,98.7572961525723,97.2556763702075,88.4338479138495
2021-10-04,76606.3493373611,86.8601075839591,98.8322382537115,97.334731576945,88.5094944519304
2021-10-05,76822.6978554716,86.9653586712007,98.9056603128552,97.4121336216705,88.583208200162
2021-10-06,77033.712784497,87.0680892638942,98.9776068086643,97.4879294459187,88.6550458027714
2021-10-07,77239.4895298292,87.1683626214313,99.0481212680974,97.5621650438854,88.7250627301823
2021-10-08,77440.1233567341,87.2662410702948,99.1172462727497,97.6348854659682,88.7933132847802
2021-10-09,77635.7093167679,87.3617859898341,99.1850234658283,97.7061348230904,88.8598506075792
2021-10-10,77826.3421775682,87.4550577997691,99.2514935597211,97.7759562917608,88.9247266857347
