"Date","forecast_Sing_covid","forecast_Sing_covid_low_80","forecast_Sing_covid_high_80","forecast_Sing_covid_low_95","forecast_Sing_covid_high_95"
2021-09-07,71.8363834995151,-169.619401359736,313.292168358766,-297.438372902406,441.111139901436
2021-09-08,71.1243522235464,-170.426636915764,312.675341362857,-298.296006559978,440.544711007071
2021-09-09,70.4263148179824,-171.217245314318,312.069874950283,-299.135619082106,439.98824871807
2021-09-10,69.7422666094732,-171.991353959218,311.475887178164,-299.957402842193,439.44193606114
2021-09-11,69.072194692414,-172.749092805245,310.893482190073,-300.761549757117,438.905939141945
2021-09-12,68.4160782657722,-173.490594224696,310.32275075624,-301.548251261429,438.380407792973
2021-09-13,67.7738889591178,-174.21599287943,309.763770797665,-302.317698284275,437.86547620251
2021-09-14,67.1455911479633,-174.925425598437,309.216607894363,-303.070081229071,437.361263524998
2021-09-15,66.531142258315,-175.619031261128,308.681315777758,-303.805589956239,436.867874472869
2021-09-16,65.9304930613662,-176.29695068554,308.157936808273,-304.524413768223,436.385399890955
2021-09-17,65.3435879588981,-176.959326520985,307.646502438781,-305.226741396399,435.913917314195
2021-09-18,64.7703652590657,-177.606303145568,307.1470336637,-305.912760990338,435.453491508469
2021-09-19,64.2107574435967,-178.238026567647,306.659541454841,-306.582660108536,435.004174995729
2021-09-20,63.6646914264059,-178.854644331303,306.184027184115,-307.236625710757,434.566008563569
2021-09-21,63.1320888042785,-179.456305425269,305.720483033826,-307.874844151452,434.139021760009
2021-09-22,62.6128660990879,-180.043160195932,305.268892394108,-308.497501174925,433.723233373101
2021-09-23,62.1069349928514,-180.615360263172,304.829230248874,-309.104781911056,433.318651896759
2021-09-24,61.614202555424,-181.173058439326,304.401463550174,-309.696870871902,432.92527598275
2021-09-25,61.1345714650001,-181.71640865118,303.985551581181,-310.273951949114,432.543094879114
2021-09-26,60.6679402216896,-182.245565864787,303.581446308166,-310.83620841202,432.1720888554
2021-09-27,60.2142033548709,-182.760686012484,303.189092722226,-311.383822905779,431.812229615521
2021-09-28,59.7732516237192,-183.261925922785,302.808429170223,-311.916977450304,431.463480697742
2021-09-29,59.3449722120197,-183.749443252097,302.439387676136,-312.435853438966,431.125797863005
2021-09-30,58.9292489165112,-184.223396419084,302.081894252106,-312.940631637914,430.799129470936
2021-10-01,58.52596233002,-184.683944540494,301.735869200534,-313.431492184875,430.483416844915
2021-10-02,58.1349900187685,-185.131247369116,301.401227406653,-313.908614588128,430.178594625665
2021-10-03,57.7562066940713,-185.565465233731,301.077878621874,-314.372177725562,429.884591113704
2021-10-04,57.389484379341,-185.986758980193,300.765727738875,-314.822359842967,429.601328601649
2021-10-05,57.0346925712319,-186.395289914876,300.464675057339,-315.259338552857,429.328723695321
2021-10-06,56.6916983968499,-186.791219748628,300.174616542328,-315.683290831972,429.066687625672
2021-10-07,56.3603667654251,-187.174710542896,299.895444073747,-316.094393019171,428.815126550022
2021-10-08,56.0405605156298,-187.545924656899,299.627045688158,-316.49282081263,428.57394184389
2021-10-09,55.7321405585057,-187.905024695952,299.369305812963,-316.878749266475,428.343030383486
2021-10-10,55.4349660158028,-188.25217346121,299.122105492816,-317.252352787142,428.122284818748
2021-10-11,55.1488943542203,-188.587533900389,298.88532260883,-317.613805129088,427.911593837528
2021-10-12,54.8737815155562,-188.911269059533,298.658832090646,-317.963279389913,427.710842421025
2021-10-13,54.6094820427279,-189.223542035926,298.442506121381,-318.300948005056,427.519912090512
2021-10-14,54.3558492020113,-189.524515931854,298.236214335877,-318.626982741803,427.338681145826
2021-10-15,54.1127351016812,-189.814353809123,298.039824012486,-318.941554692511,427.167024895873
2021-10-16,53.8799908064107,-190.093218645003,297.853200257825,-319.244834267806,427.004815880628
