"Date","forecast_US_stringency","forecast_US_stringency_low_80","forecast_US_stringency_high_80","forecast_US_stringency_low_95","forecast_US_stringency_high_95"
2021-09-04,85.1027869382038,67.2079589199313,102.997614956476,57.7350091847993,112.470564691608
2021-09-05,85.26430586789,67.3539323039687,103.174679431811,57.8727532540656,112.655858481714
2021-09-06,85.4217611960264,67.495968772472,103.347553619581,58.0066274713236,112.836894920729
2021-09-07,85.5752395607405,67.6341203832626,103.516358738218,58.1366655886861,113.013813532795
2021-09-08,85.7248269798139,67.7684409311828,103.681213028445,58.2629043432022,113.186749616426
2021-09-09,85.8706087958953,67.8989858115865,103.842231780204,58.3853832770852,113.355834314705
2021-09-10,86.0126696252734,68.0258118871983,103.999527363348,58.5041445612105,113.521194689336
2021-09-11,86.1510933100782,68.1489773584174,104.153209261739,58.6192328220647,113.682953798092
2021-09-12,86.2859628737798,68.2685416371296,104.30338411043,58.7306949723163,113.841230775243
2021-09-13,86.417360479863,68.3845652240931,104.450155735633,58.8385800451683,113.996140914558
2021-09-14,86.5453673935525,68.4971095899454,104.59362519716,58.9429390326371,114.147795754468
2021-09-15,86.6700639464703,68.6062370598806,104.73389083306,59.0438247278892,114.296303165051
2021-09-16,86.7915295041096,68.7120107020326,104.871048306187,59.1412915717582,114.441767436461
2021-09-17,86.909842436012,68.8144942195984,105.005190652426,59.2353955035468,114.584289368477
2021-09-18,87.0250800885366,68.9137518467197,105.136408330354,59.3261938162083,114.723966360865
2021-09-19,87.137318760115,69.0098482481428,105.264789272087,59.4137450159878,114.860892504242
2021-09-20,87.2466336788875,69.1028484226629,105.390418935112,59.4981086865925,114.995158671183
2021-09-21,87.3530989826199,69.1928176103551,105.513380354885,59.5793453579447,115.126852607295
2021-09-22,87.4567877007995,69.2798212035844,105.633754198015,59.6575163795607,115.256059022038
2021-09-23,87.5577717388198,69.3639246617836,105.751618815856,59.7326837985879,115.382859679052
2021-09-24,87.6561218641557,69.4451934299776,105.867050298334,59.8049102425166,115.507333485795
