"Date","forecast_UK_response","forecast_UK_response_low_80","forecast_UK_response_high_80","forecast_UK_response_low_95","forecast_UK_response_high_95"
2021-08-31,64.2773271738934,48.6075630446415,79.9470913031454,40.3124909821322,88.2421633656546
2021-09-01,64.2518338728831,48.4973300635233,80.0063376822429,40.1573995240613,88.346268221705
2021-09-02,64.2267837012671,48.3885744666556,80.0649929358785,40.0043329516895,88.4492344508447
2021-09-03,64.2021789761562,48.2812888630765,80.1230690892358,39.8532787349119,88.5510792174004
2021-09-04,64.1780218271933,48.1754657697061,80.1805778846806,39.7042243019803,88.6518193524064
2021-09-05,64.1543141981083,48.0710976131974,80.2375307830192,39.5571570415119,88.7514713547047
2021-09-06,64.1310578484503,47.9681767316366,80.2939389652639,39.4120643041716,88.850051392729
2021-09-07,64.1082543554803,47.8666953761131,80.3498133348475,39.2689334040715,88.9475753068891
2021-09-08,64.0859051162258,47.7666457121905,80.405164520261,39.1277516199336,89.0440586125179
2021-09-09,64.0640113496714,47.6680198212898,80.460002878053,38.9885061960449,89.1395165032979
2021-09-10,64.0425740990768,47.5708097019991,80.5143384961545,38.8511843430336,89.23396385512
2021-09-11,64.021594234415,47.4750072713324,80.5681811974976,38.7157732385035,89.3274152303266
2021-09-12,64.0010724549124,47.3806043659396,80.6215405438852,38.5822600275398,89.4198848822851
2021-09-13,63.9810092916828,47.2875927432842,80.6744258400813,38.4506318231161,89.5113867602494
2021-09-14,63.9614051104516,47.195964082804,80.7268461380992,38.3208757064274,89.6019345144757
2021-09-15,63.9422601143603,47.1057099870614,80.7788102416591,38.1929787271647,89.6915415015558
2021-09-16,63.9235743468314,47.0168219828819,80.8303267107808,38.066927903739,89.7802207899238
2021-09-17,63.9053476945006,46.9292915225023,80.881403866499,37.942710223486,89.8679851655153
2021-09-18,63.8875798901984,46.8431099847224,80.9320497956743,37.8203126428493,89.9548471375474
2021-09-19,63.8702705159794,46.758268676074,80.9822723558847,37.6997220875631,90.0408189443956
2021-09-20,63.853419006194,46.6747588320094,81.0320791803787,37.5809254528453,90.1259125595427
2021-09-21,63.8370246505923,46.5925716181119,81.0814776830726,37.4639096036053,90.2101396975793
2021-09-22,63.8210865974545,46.5116981313301,81.1304750635789,37.3486613746739,90.293511820235
2021-09-23,63.8056038567471,46.4321294012437,81.1790783122505,37.2351675710695,90.3760401424247
2021-09-24,63.7905753032916,46.3538563913548,81.2272942152284,37.1234149682944,90.4577356382888
2021-09-25,63.7759996799469,46.2768700004128,81.2751293594811,37.0133903126774,90.5386090472165
2021-09-26,63.7618756008059,46.2011610637771,81.3225901378346,36.9050803217653,90.6186708798464
2021-09-27,63.7482015543887,46.1267203548076,81.3696827539697,36.7984716847586,90.6979314240187
2021-09-28,63.7349759068379,46.0535385862907,81.4164132273852,36.6935510630017,90.7764007506741
2021-09-29,63.7221969051111,45.9816064119004,81.4627873983218,36.5903050905273,90.8540887196949
2021-09-30,63.7098626801678,45.9109144276962,81.5088109326394,36.4887203746595,90.931004985676
2021-10-01,63.6979712501383,45.8414531736468,81.5544893266297,36.3887834966676,91.0071590036089
2021-10-02,63.6865205234899,45.7732131351962,81.5998279117836,36.2904810124844,91.0825600344954
2021-10-03,63.6755083021698,45.7061847448567,81.6448318594829,36.1937994534789,91.1572171508608
2021-10-04,63.6649322847313,45.6403583838354,81.6895061856271,36.0987253272891,91.2311392421734
2021-10-05,63.6547900694391,45.5757243836891,81.7338557551892,36.005245118709,91.3043350201692
2021-10-06,63.6450791573497,45.5122730280087,81.7778852866907,35.9133452906342,91.3768130240653
2021-10-07,63.6357969553673,45.4499945541324,81.8215993566021,35.8230122850638,91.4485816256708
