"Date","forecast_UK_stringency","forecast_UK_stringency_low_80","forecast_UK_stringency_high_80","forecast_UK_stringency_low_95","forecast_UK_stringency_high_95"
2021-08-11,61.5284891615207,43.6299976515003,79.4269806715411,34.1551085809833,88.9018697420581
2021-08-12,61.5207669739874,43.4976185090623,79.5439154389125,33.9567400327381,89.0847939152367
2021-08-13,61.5132139684069,43.3672997296484,79.6591282071653,33.7614329783026,89.2649949585111
2021-08-14,61.5058353957395,43.2390215467541,79.7726492447248,33.569154407726,89.4425163837529
2021-08-15,61.4986364531891,43.112764228762,79.8845086776161,33.3798713928703,89.6174015135078
2021-08-16,61.491622272953,42.9885080966649,79.9947364492411,33.1935511204699,89.7896934254361
2021-08-17,61.484797911826,42.8662335395863,80.1033622840658,33.010160921372,89.9594349022801
2021-08-18,61.4781683416247,42.7459210282991,80.2104156549503,32.8296682962805,90.1266683869689
2021-08-19,61.4717384403922,42.6275511269219,80.3159257538625,32.6520409382998,90.2914359424846
2021-08-20,61.4655129843434,42.5111045029627,80.4199214657241,32.4772467525593,90.4537792161276
2021-08-21,61.4594966405167,42.3965619358596,80.5224313451737,32.3052538731653,90.613739407868
2021-08-22,61.4536939600914,42.2839043241677,80.6234835960151,32.1360306777301,90.7713572424528
2021-08-23,61.4481093723432,42.1731126915249,80.7231060531615,31.9695457996954,90.9266729449911
2021-08-24,61.4427471791989,42.0641681915121,80.8213261668856,31.8057681386479,91.0797262197498
2021-08-25,61.4376115503599,41.9570521115285,80.9181709891912,31.6446668688277,91.230556231892
2021-08-26,61.4327065189672,41.8517458757801,81.0136671621543,31.4862114459936,91.3792015919408
2021-08-27,61.4280359777714,41.7482310474758,81.107840908067,31.3303716128093,91.5257003427335
2021-08-28,61.4236036757859,41.6464893303247,81.2007180212471,31.1771174029045,91.6700899486672
2021-08-29,61.4194132153963,41.5465025694098,81.2923238613829,31.0264191437421,91.8124072870506
2021-08-30,61.4154680498957,41.4482527515131,81.3826833482782,30.8782474584196,91.9526886413718
2021-08-31,61.4117714814184,41.3517220049501,81.4718209578867,30.7325732665097,92.0909696963272
2021-09-01,61.4083266592607,41.2568925989952,81.5597607195262,30.589367784071,92.2272855344504
2021-09-02,61.4051365785551,41.1637469429324,81.6465262141779,30.4486025228974,92.3616706342129
2021-09-03,61.4022040792782,41.0722675847965,81.7321405737599,30.3102492891189,92.4941588694375
2021-09-04,61.3995318455764,40.982437209844,81.8166264813088,30.174280181219,92.6247835099339
2021-09-05,61.3971224053814,40.8942386387933,81.9000061719696,30.0406675875474,92.7535772232154
2021-09-06,61.3949781303028,40.8076548258794,81.9823014347263,29.9093841834022,92.8805720772035
2021-09-07,61.3931012357831,40.7226688567555,82.0635336148108,29.7804029277378,93.0057995438285
2021-09-08,61.3914937814881,40.6392639462679,82.1437236167083,29.6536970595554,93.1292905034208
2021-09-09,61.3901576719232,40.5574234361364,82.22289190771,29.5292400940299,93.2510752498166
2021-09-10,61.3890946572609,40.4771307925639,82.3010585219579,29.4070058184153,93.3711834961065
2021-09-11,61.3883063343578,40.3983696037947,82.3782430649208,29.2869682877724,93.4896443809431
2021-09-12,61.3877941479563,40.3211235776471,82.4544647182654,29.169101820559,93.6064864753536
2021-09-13,61.3875593920535,40.2453765390377,82.5297422450692,29.0533809941192,93.7217377899877
2021-09-14,61.3876032114224,40.1711124275062,82.6040939953386,28.9397806400922,93.8354257827527
2021-09-15,61.3879266032737,40.0983152947577,82.6775379117898,28.8282758397743,93.9475773667731
2021-09-16,61.388530419053,40.0269693022438,82.7500915358623,28.7188419194682,94.0582189186378
2021-09-17,61.3894153663553,39.9570587187776,82.821772013933,28.6114544458215,94.1673762868891
2021-09-18,61.3905820109521,39.8885679182039,82.8925961037002,28.5060892211905,94.2750748007136
2021-09-19,61.392030778917,39.8214813771305,82.9625801807036,28.402722279046,94.3813392787881
2021-09-20,61.3937619588427,39.75578367272,83.0317402449655,28.3013298794218,94.4861940382637
2021-09-21,61.3957757041399,39.6914594805553,83.1000919277245,28.2018885044338,94.5896629038459
2021-09-22,61.398072035412,39.6284935725837,83.1676504982404,28.1043748538784,94.6917692169457
2021-09-23,61.4006508428952,39.5668708151378,83.2344308706526,28.0087658409139,94.7925358448766
2021-09-24,61.4035118889589,39.5065761670434,83.3004476108743,27.9150385878435,94.8919851900742
2021-09-25,61.4066548106593,39.4475946778115,83.3657149435071,27.8231704219984,94.9901391993201
2021-09-26,61.4100791223352,39.3899114859151,83.4302467587553,27.7331388717278,95.0870193729426
2021-09-27,61.4137842182459,39.3335118171587,83.4940566193332,27.6449216625093,95.1826467739826
2021-09-28,61.4177693752441,39.2783809831363,83.557157767352,27.5584967131755,95.2770420373128
2021-09-29,61.422033755475,39.2245043797765,83.6195631311735,27.4738421322603,95.3702253786898
2021-09-30,61.4265764090977,39.1718674859776,83.6812853322178,27.3909362144703,95.4622166037251
2021-10-01,61.4313962770299,39.1204558623344,83.7423366917254,27.3097574372852,95.5530351167746
2021-10-02,61.4364921937006,39.070255149948,83.8027292374532,27.2302844576803,95.642699929721
2021-10-03,61.4418628898152,39.0212510693237,83.8624747103067,27.1524961089768,95.7312296706535
2021-10-04,61.4475069951257,38.9734294193548,83.9215845708965,27.0763713978222,95.8186425924292
2021-10-05,61.4534230412023,38.9267760763876,83.980070006017,27.0018895012912,95.9049565811134
2021-10-06,61.4596094642043,38.8812769933698,84.0379419350388,26.9290297641191,95.9901891642895
2021-10-07,61.4660646076454,38.8369181990765,84.0952110162144,26.8577716960517,96.0743575192392
2021-10-08,61.4727867251494,38.793685797413,84.1518876528858,26.7880949693222,96.1574784809766
2021-10-09,61.4797739831978,38.7515659667938,84.2079819996018,26.7199794162455,96.23956855015
2021-10-10,61.4870244638598,38.7105449595913,84.2635039681282,26.6534050269311,96.3206439007885
2021-10-11,61.4945361675094,38.6706091016556,84.3184632333632,26.588351947109,96.4007203879098
2021-10-12,61.5023070155255,38.6317447919046,84.3728692391463,26.5248004760751,96.4798135549759
2021-10-13,61.5103348529644,38.5939385019718,84.4267312039569,26.4627310647363,96.5579386411924
2021-10-14,61.5186174512173,38.5571767759212,84.4800581265134,26.4021243137688,96.6351105886658
2021-10-15,61.5271525106387,38.521446230021,84.5328587912565,26.3429609718797,96.7113440493978
2021-10-16,61.5359376631507,38.4867335525714,84.5851417737301,26.285221934166,96.7866533921355
2021-10-17,61.5449704748193,38.4530255037897,84.6369154458489,26.2288882405741,96.8610527090646
2021-10-18,61.5542484484009,38.4203089157442,84.6881879810577,26.1739410744511,96.9345558223507
2021-10-19,61.563769025859,38.3885706923376,84.7389673593803,26.1203617611876,97.0071762905303
2021-10-20,61.5735295908489,38.3577978093372,84.7892613723607,26.0681317669474,97.0789274147505
2021-10-21,61.5835274711703,38.3279773144472,84.8390776278934,26.0172326974811,97.1498222448595
2021-10-22,61.5937599411846,38.2990963274233,84.8884235549459,25.9676462970209,97.2198735853483
2021-10-23,61.6042242242,38.2711420402256,84.9373064081744,25.919354447252,97.289094001148
2021-10-24,61.6149174948189,38.2441017172063,84.9857332724314,25.8723391663569,97.3574958232809
2021-10-25,61.6258368812498,38.217962695332,85.0337110671676,25.8265826081317,97.4250911543679
2021-10-26,61.6369794675858,38.1927123844398,85.0812465507317,25.7820670611721,97.4918918739994
2021-10-27,61.6483422960413,38.1683382675188,85.1283463245639,25.7387749481187,97.5579096439639
2021-10-28,61.659922369152,38.144827901018,85.175016837286,25.6966888249645,97.6231559133395
2021-10-29,61.6717166519392,38.1221689151834,85.2212643886951,25.6557913804236,97.6876419234549
2021-10-30,61.6837220740335,38.1003490144131,85.2670951336538,25.6160654353514,97.7513787127155
2021-10-31,61.6959355317599,38.079355977635,85.3125150858847,25.5774939422172,97.8143771213026
2021-11-01,61.7083538901862,38.0591776587043,85.3575301216681,25.5400599846281,97.8766477957443
2021-11-02,61.7209739851286,38.039801986813,85.4021459834442,25.5037467768944,97.9382011933627
2021-11-03,61.7337926251211,38.0212169669195,85.4463682833226,25.4685376636431,97.999047586599
2021-11-04,61.7468065933449,38.0034106801881,85.4902025065017,25.4344161194688,98.0591970672211
2021-11-05,61.7600126495178,37.9863712844395,85.5336540145962,25.4013657486229,98.1186595504127
2021-11-06,61.7734075317461,37.9700870146139,85.5767280488783,25.3693702847417,98.1774447787505
2021-11-07,61.7869879583337,37.9545461832363,85.6194297334311,25.3384135905994,98.2355623260681
2021-11-08,61.8007506295574,37.9397371808948,85.66176407822,25.3084796579006,98.2930216012142
2021-11-09,61.8146922293994,37.9256484767201,85.7037359820787,25.2795526070964,98.3498318517023
2021-11-10,61.828809427242,37.912268618868,85.7453502356161,25.2516166872249,98.4060021672592
2021-11-11,61.8430988795241,37.8995862350054,85.7866115240427,25.224656275778,98.4615414832701
2021-11-12,61.8575572313586,37.8875900327973,85.8275244299199,25.1986558785893,98.5164585841279
2021-11-13,61.8721811181118,37.8762688003902,85.8680934358335,25.1736001297383,98.5707621064854
2021-11-14,61.8869671669475,37.8656114068998,85.9083229269953,25.1494737914781,98.624460542417
2021-11-15,61.9019119983299,37.8556068028902,85.9482171937696,25.1262617541728,98.6775622424869
2021-11-16,61.9170122274918,37.8462440208519,85.9877804341317,25.1039490362518,98.7300754187318
2021-11-17,61.9322644658645,37.8375121756739,86.027016756055,25.0825207841742,98.7820081475547
2021-11-18,61.9476653224716,37.8294004651105,86.0659301798326,25.0619622724053,98.8333683725379
2021-11-19,61.963211405288,37.8218981702409,86.1045246403352,25.0422589033999,98.8841639071762
