"Date","forecast_UK_covid","forecast_UK_economic","forecast_UK_health","forecast_UK_response","forecast_UK_stringency"
2021-07-29,10105.9553558912,89.4892323090264,61.8911111769609,65.3411391745262,61.6418738938352
2021-07-30,10157.2359476489,89.3786038861795,61.8639098689003,65.3035012412313,61.6324280369591
2021-07-31,10206.7472584493,89.2698074256794,61.8367578586315,65.2661355663537,61.6230851600206
2021-08-01,10254.5314691031,89.1628338711229,61.8096640470977,65.2290488102489,61.6138497186397
2021-08-02,10300.6301001809,89.057673944212,61.7826374374341,65.1922476942316,61.6047263590384
2021-08-03,10345.0840034364,88.9543181462644,61.755687104372,65.1557389740778,61.5957198916277
2021-08-04,10387.9333554434,88.8527567605293,61.7288221661875,65.1195294158481,61.5868352660243
2021-08-05,10429.2176532245,88.7529798551981,61.702051759012,65.0836257738505,61.578077547447
2021-08-06,10468.975711584,88.6549772869951,61.6753850132863,65.0480347705468,61.5694518944647
2021-08-07,10507.2456620002,88.5587387052684,61.6488310322203,65.0127630782677,61.5609635380386
2021-08-08,10544.0649528317,88.4642535564904,61.6223988720727,64.9778173025661,61.5526177618289
2021-08-09,10579.4703507317,88.3715110891079,61.596097524137,64.9432039671007,61.5444198837079
2021-08-10,10613.4979430738,88.2805003586725,61.5699358982796,64.9089294999094,61.5363752384471
2021-08-11,10646.1831413114,88.1912102332063,61.5439228079384,64.8750002209845,61.5284891615207
2021-08-12,10677.5606851295,88.1036293987521,61.5180669564592,64.8414223310385,61.5207669739874
2021-08-13,10707.6646472846,88.0177463650676,61.4923769246715,64.8082019013693,61.5132139684069
2021-08-14,10736.5284390732,87.9335494714324,61.4668611596272,64.7753448647542,61.5058353957395
2021-08-15,10764.1848163353,87.8510268925369,61.4415279644148,64.7428570072919,61.4986364531891
2021-08-16,10790.6658859012,87.7701666444205,61.416385488959,64.7107439611114,61.491622272953
2021-08-17,10816.0031124608,87.6909565904457,61.3914417217591,64.6790111979057,61.484797911826
2021-08-18,10840.2273257782,87.6133844472822,61.3667044824914,64.647664023219,61.4781683416247
2021-08-19,10863.3687281966,87.537437790885,61.3421814154101,64.6167075714323,61.4717384403922
2021-08-20,10885.4569024102,87.463104062453,61.3178799835052,64.5861468014065,61.4655129843434
2021-08-21,10906.52081944,87.3903705743535,61.2938074633516,64.5559864927252,61.4594966405167
2021-08-22,10926.5888468021,87.3192245160037,61.2699709406175,64.5262312425085,61.4536939600914
2021-08-23,10945.6887568224,87.2496529596978,61.2463773061735,64.4968854627433,61.4481093723432
2021-08-24,10963.8477350686,87.1816428663726,61.2230332527706,64.4679533781044,61.4427471791989
2021-08-25,10981.0923888928,87.1151810913059,61.1999452722479,64.4394390242295,61.4376115503599
2021-08-26,10997.4487560377,87.0502543897394,61.177119653229,64.4113462464115,61.4327065189672
2021-08-27,11012.9423133125,86.9868494224242,61.1545624792833,64.3836786986875,61.4280359777714
2021-08-28,11027.5979853,86.9249527610824,61.1322796275118,64.356439843288,61.4236036757859
2021-08-29,11041.4401530757,86.8645508937808,61.1102767675272,64.3296329504201,61.4194132153963
2021-08-30,11054.4926629489,86.8056302302177,61.0885593608101,64.303261098369,61.4154680498957
2021-08-31,11066.7788352062,86.7481771069191,61.0671326604161,64.2773271738934,61.4117714814184
2021-09-01,11078.3214728206,86.6921777923388,61.0460017109956,64.2518338728831,61.4083266592607
2021-09-02,11089.1428701379,86.6376184918654,61.0251713491125,64.2267837012671,61.4051365785551
2021-09-03,11099.2648215367,86.5844853527348,61.0046462038478,64.2021789761562,61.4022040792782
2021-09-04,11108.7086300285,86.5327644688447,60.9844306976503,64.1780218271933,61.3995318455764
2021-09-05,11117.4951158267,86.4824418854752,60.9645290474383,64.1543141981083,61.3971224053814
2021-09-06,11125.6446248483,86.4335036039117,60.9449452659181,64.1310578484503,61.3949781303028
2021-09-07,11133.1770371378,86.3859355859691,60.9256831630976,64.1082543554803,61.3931012357831
2021-09-08,11140.1117752384,86.3397237584224,60.9067463480005,64.0859051162258,61.3914937814881
2021-09-09,11146.4678124853,86.2948540173407,60.8881382305499,64.0640113496714,61.3901576719232
2021-09-10,11152.2636812128,86.2513122323245,60.8698620236097,64.0425740990768,61.3890946572609
2021-09-11,11157.5174808928,86.2090842506507,60.8519207451789,64.021594234415,61.3883063343578
