"Date","forecast_UK_economic","forecast_UK_economic_low_80","forecast_UK_economic_high_80","forecast_UK_economic_low_95","forecast_UK_economic_high_95"
2021-10-08,85.5138426562814,54.157445269207,116.870240043356,37.5583711669426,133.46931414562
2021-10-09,85.5026768701294,54.0679031865062,116.937450553753,37.427339179065,133.578014561194
2021-10-10,85.4924201972685,53.9804226036413,117.004417790896,37.2989787276106,133.685861666926
2021-10-11,85.4830593134797,53.8949799964388,117.071138630521,37.1732608888762,133.792857738083
2021-10-12,85.4745809594178,53.8115518792026,117.137610039633,37.0501567636624,133.899005155173
2021-10-13,85.4669719423047,53.7301148082801,117.203829076329,36.9296374818315,134.004306402778
2021-10-14,85.4602191375608,53.6506453856002,117.269792889521,36.8116742068547,134.108764068267
2021-10-15,85.4543094903831,53.5731202621848,117.335498718581,36.6962381403464,134.21238084042
2021-10-16,85.4492300172669,53.4975161416283,117.400943892905,36.5833005265812,134.315159507953
2021-10-17,85.4449678074729,53.4238097835414,117.466125831404,36.4728326569834,134.417102957962
2021-10-18,85.441510024443,53.3519780069645,117.531042041921,36.3648058745983,134.518214174288
2021-10-19,85.4388439071618,53.2819976937369,117.595690120587,36.2591915785232,134.6184962358
2021-10-20,85.436956771469,53.2138457918261,117.660067751112,36.1559612283058,134.717952314632
2021-10-21,85.4358360113202,53.1474993186188,117.724172704022,36.0550863483091,134.816585674331
2021-10-22,85.4354690999997,53.082935364162,117.788002835837,35.9565385320262,134.914399667973
2021-10-23,85.4358435912844,53.02013109436,117.851556088209,35.8602894463539,135.011397736215
2021-10-24,85.4369471205608,52.9590637541244,117.914830486997,35.7663108358185,135.107583405303
2021-10-25,85.4387674058968,52.8997106704745,117.977824141319,35.6745745267507,135.202960285043
2021-10-26,85.4412922490647,52.842049255584,118.040535242545,35.5850524314027,135.297532066727
2021-10-27,85.4445095365241,52.7860570097811,118.102962063267,35.4977165520169,135.391302521031
2021-10-28,85.4484072403595,52.7317115244939,118.165102956225,35.4125389848337,135.484275495885
2021-10-29,85.4529734191745,52.67899048514,118.226956353209,35.3294919240381,135.576454914311
2021-10-30,85.4581962189452,52.6278716739635,118.288520763927,35.2485476656454,135.667844772245
2021-10-31,85.464063873833,52.5783329728149,118.349794774851,35.1696786113243,135.758449136342
2021-11-01,85.4705647069559,52.5303523658784,118.410777048033,35.0928572721575,135.848272141754
2021-11-02,85.4776871311226,52.4839079423365,118.471466319909,35.0180562723303,135.937317989915
2021-11-03,85.485419649527,52.4389778989851,118.531861400069,34.9452483527609,136.025590946293
2021-11-04,85.4937508564049,52.3955405427823,118.591961170028,34.8744063746516,136.113095338158
2021-11-05,85.5026694376553,52.3535742933465,118.651764581964,34.8055033229801,136.199835552331
2021-11-06,85.5121641714235,52.313057685389,118.711270657458,34.7385123099112,136.285816032936
2021-11-07,85.522223928652,52.2739693710949,118.770478486209,34.6734065781466,136.371041279157
2021-11-08,85.532837673594,52.2362881224396,118.829387224748,34.6101595041959,136.455515842992
2021-11-09,85.5439944642943,52.1999928334482,118.88799609514,34.5487446015771,136.539244327012
2021-11-10,85.5556834530385,52.1650625223956,118.946304383681,34.489135523944,136.622231382133
2021-11-11,85.5678938867682,52.1314763339472,119.004311439589,34.43130606814,136.704481705397
2021-11-12,85.5806151074658,52.0992135412403,119.062016673691,34.3752301771775,136.786000037754
2021-11-13,85.593836552508,52.0682535479064,119.11941955711,34.3208819431443,136.866791161872
2021-11-14,85.6075477549885,52.0385758900323,119.176519619945,34.2682356100316,136.946859899945
2021-11-15,85.6217383440126,52.0101602380657,119.233316449959,34.2172655764919,137.026211111533
2021-11-16,85.6363980449619,51.9829863986576,119.289809691266,34.1679463985177,137.104849691406
2021-11-17,85.651516679732,51.9570343164509,119.345999043013,34.1202527920498,137.182780567414
2021-11-18,85.667084166942,51.9322840758051,119.401884258079,34.0741596355056,137.260008698378
2021-11-19,85.6830905221162,51.9087159024671,119.457465141765,34.0296419722364,137.336539071996
