"Date","covid_Sing","Point Forecast","Lo 80","Hi 80","Lo 95","Hi 95"
2021-05-15,31,72.12516248808,-198.084233428071,342.334558404231,-341.124447218358,485.374772194518
2021-05-16,49,72.1501928065887,-198.130885373153,342.431270986331,-341.209045461622,485.509431074799
2021-05-17,28,72.1793197511639,-198.171997933846,342.530637436174,-341.287340570375,485.645980072703
2021-05-18,38,72.212457750575,-198.207720513815,342.632636014965,-341.359515739133,485.784431240284
2021-05-19,38,72.2495211898027,-198.238199119872,342.737241499478,-341.425748944191,485.924791323797
2021-05-20,41,72.2904244692579,-198.26357644669,342.844425385206,-341.486213104534,486.06706204305
2021-05-21,40,72.3350820604801,-198.283991960804,342.954156081764,-341.54107623979,486.21124036075
2021-05-22,29,72.3834085602444,-198.299581982042,343.066399102531,-341.590501623407,486.357318743896
2021-05-23,25,72.4353187415382,-198.310479763998,343.181117247075,-341.634647932715,486.505285415791
2021-05-24,36,72.4907276029454,-198.316815572083,343.298270777974,-341.673669394438,486.655124600328
2021-05-25,30,72.5495504156857,-198.318716759988,343.41781759136,-341.70771592653,486.806816757902
2021-05-26,26,72.6117027681637,-198.316307844763,343.539713381091,-341.736933276589,486.960338812916
2021-05-27,24,72.6771006092283,-198.309710579396,343.663911797852,-341.761463155746,487.115664374203
2021-05-28,30,72.745660289166,-198.299044023933,343.790364602265,-341.781443369148,487.27276394748
2021-05-29,33,72.8172985981774,-198.284424615465,343.91902181182,-341.797007943352,487.431605139707
2021-05-30,25,72.891932803916,-198.265966235478,344.04983184331,-341.808287249199,487.592152857031
2021-05-31,23,72.9694806868403,-198.243780275869,344.18274164955,-341.815408121501,487.754369495182
