"Date","forecast_US_economic","forecast_US_economic_low_80","forecast_US_economic_high_80","forecast_US_economic_low_95","forecast_US_economic_high_95"
2021-09-05,82.3998120802121,66.5540746046372,98.2455495557869,58.1658478796335,106.633776280791
2021-09-06,82.608825541782,66.7390276355085,98.4786234480555,58.3380640878664,106.879586995698
2021-09-07,82.8132261098041,66.9197265224986,98.7067256971095,58.5062160628199,107.120236156788
2021-09-08,83.0130867445005,67.0961923700313,98.9299811189697,58.6702974581164,107.355876030885
2021-09-09,83.2084810785551,67.268449531412,99.1485126256982,58.8303065401343,107.586655616976
2021-09-10,83.399483307413,67.4365254722738,99.3624411425523,58.9862460372382,107.812720577588
2021-09-11,83.5861680846915,67.6004506336954,99.5718855356876,59.1381229858029,108.03421318358
2021-09-12,83.7686104225472,67.7602582952659,99.7769625498285,59.2859485735304,108.251272271564
2021-09-13,83.946885596851,67.9159844383597,99.9777867553424,59.4297379805455,108.464033213157
2021-09-14,84.1210690570198,68.0676676098743,100.174470504165,59.5695102187319,108.672627895308
2021-09-15,84.2912363403596,68.2153487866745,100.367123894045,59.7052879697617,108.877184710958
2021-09-16,84.4574629907774,68.3590712409754,100.555854740579,59.8370974222485,109.077828559306
2021-09-17,84.6198244817214,68.4988804068901,100.740768556553,59.9649681084418,109.274680855001
2021-09-18,84.7783961432085,68.6348237483511,100.921968538066,60.0889327408603,109.467859545557
2021-09-19,84.9332530928065,68.7669506286123,101.099555557001,60.2090270492474,109.657479136366
2021-09-20,85.0844701704376,68.8953121815242,101.273628159351,60.3252896182174,109.843650722658
2021-09-21,85.2321218768721,69.0199611847647,101.44428256898,60.4377617259379,110.026482027806
2021-09-22,85.3762823157856,69.1409519351992,101.611612696372,60.546487184182,110.206077447389
2021-09-23,85.5170251392557,69.2583401265322,101.775710151979,60.651512180066,110.382538098445
2021-09-24,85.654423496576,69.3721827294039,101.936664263748,60.752885119768,110.555961873384
2021-09-25,85.7885499862677,69.4825378740695,102.094562098466,60.8506564745063,110.726443498029
2021-09-26,85.9194766111708,69.5894647357945,102.249488486547,60.9448786290383,110.894074593303
2021-09-27,86.047274736507,69.6930234230863,102.401526049928,61.0356057329269,111.058943740087
2021-09-28,86.1720150507959,69.7932748688673,102.550755232725,61.1228935547933,111.221136546799
2021-09-29,86.2937675295221,69.8902807246914,102.697254334353,61.2067993397686,111.380735719276
2021-09-30,86.4126014014446,69.9841032580879,102.841099544801,61.2873816703297,111.53782113256
2021-10-01,86.5285851174456,70.0748052531094,102.982364981782,61.364700330691,111.6924699042
2021-10-02,86.6417863218191,70.1624499141493,103.121122729489,61.4388161749044,111.844756468734
2021-10-03,86.7522718259035,70.2471007730855,103.257442878722,61.509790998806,111.994752653001
2021-10-04,86.8601075839591,70.32882159979,103.391393568128,61.5776874159229,112.142527751995
2021-10-05,86.9653586712007,70.4076763160435,103.523041026358,61.6425687374444,112.288148604957
2021-10-06,87.0680892638942,70.4837289128751,103.652449614913,61.7044988563413,112.431679671447
2021-10-07,87.1683626214313,70.5570433713446,103.779681871518,61.7635421357013,112.573183107161
